UNITID,OPEID,OPEID6,INSTNM,CITY,STABBR,ZIP,INSTURL,NPCURL,COSTT4_A,TUITFTE,PCIP01,PCIP11,PCIP15,PCIP43,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52
174534,1049003,10490,Regency Beauty Institute-Burnsville,Burnsville,MN,55306,www.regency.edu,www.regency.edu/institute/financial-aid/calculator/,NULL,12145,0,0,0,0,0,0,0,0,0,0,0
449214,1049013,10490,Regency Beauty Institute-Duluth,Duluth,MN,55811,www.regency.edu,www.regency.edu/institute/financial-aid/calculator/,NULL,14624,0,0,0,0,0,0,0,0,0,0,0
445221,1049002,10490,Regency Beauty Institute-Maplewood,Maplewood,MN,55109,www.regency.edu,www.regency.edu/institute/financial-aid/calculator/,NULL,8739,0,0,0,0,0,0,0,0,0,0,0
174765,1049001,10490,Regency Beauty Institute-St Cloud,Waite Park,MN,56387,www.regency.edu,www.regency.edu/institute/financial-aid/calculator/,NULL,8847,0,0,0,0,0,0,0,0,0,0,0
175236,525200,5252,Ridgewater College,Willmar,MN,56201,www.ridgewater.edu,www.mnscu.edu/admissions/calculator/ridgewater.html,15822,3577,0.1147,0.0078,0.0729,0.0087,0.0243,0.0292,0.0418,0,0.0224,0.3013,0.0739
17523601,525201,5252,Ridgewater College,Hutchinson,MN,55350,www.ridgewater.edu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173063,233500,2335,Riverland Community College,Austin,MN,55912-1473,www.riverland.edu,www.riverland.edu/fa/calculator.cfm,13770,3366,0.0051,0.0319,0.0077,0.0255,0.037,0.0383,0.0345,0.0268,0.0026,0.3129,0.152
174738,237300,2373,Rochester Community and Technical College,Rochester,MN,55904-4999,www.rctc.edu/,www.mnscu.edu/admissions/calculator/rochester.html,18730,3250,0.0128,0.006,0.0119,0.0332,0.0443,0.0111,0.0247,0,0.023,0.3981,0.0665
461546,4174400,41744,Rochester School of Hair Design,Rochester,MN,55901-4310,www.rochesterschoolofhairdesign.com,www.rochesterschoolofhairdesign.com,NULL,12152,0,0,0,0,0,0,0,0,0,0,0
175041,553300,5533,Saint Paul College,Saint Paul,MN,55102-9808,www.saintpaul.edu,www.mnscu.edu/admissions/calculator/saintpaul.html,17680,2069,0,0.0426,0.0089,0,0.0631,0.0281,0.0796,0,0.0144,0.3391,0.1064
475291,735102,7351,Sanford-Brown College-Brooklyn Center,Brooklyn Center,MN,55430,www.browncollege.edu/,https://sanfordbrown.studentaidcalculator.com,NULL,14038,0,0.1064,0,0.3191,0,0,0,0,0,0.5745,0
174394,735100,7351,Sanford-Brown College-Mendota Heights,Mendota Heights,MN,55120,sanfordbrown.edu/mendota-heights,https://sanfordbrown.studentaidcalculator.com/survey.aspx,NULL,19633,0,0.2619,0,0,0,0,0,0,0.25,0.1667,0.0476
173911,553700,5537,South Central College,North Mankato,MN,56003-1920,www.southcentral.edu,southcentral.edu/aid-financial/net-price-calculator.html,14905,3396,0.0713,0.0306,0.0378,0,0.0029,0.0466,0.0975,0,0,0.2591,0.1266
17391101,553701,5537,South Central College-Faribault,Faribault,MN,550215782,www.southcentral.edu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
174756,553400,5534,St Cloud Technical and Community College,Saint Cloud,MN,56303-1240,www.sctcc.edu,www.sctcc.edu/calculator,12959,2990,0.0092,0.0259,0.1029,0,0.0485,0.0661,0.0385,0,0,0.2921,0.0879
175120,2260500,22605,Summit Academy Opportunities Industrialization Center,Minneapolis,MN,55405,WWW.SAOIC.ORG,www.saoic.org,NULL,22,0,0,0,0,0.6505,0,0,0,0,0.3495,0
173887,1024800,10248,The Art Institutes International-Minnesota,Minneapolis,MN,55402,www.aim.artinstitutes.edu,tcc.noellevitz.com/edmc/Freshman-Students Net Price Calculator,30919,12512,0,0.0578,0,0,0,0,0,0,0.5911,0,0.0933
175157,235000,2350,Vermilion Community College,Ely,MN,55731,www.vcc.edu/,www.mnscu.edu/admissions/calculator/vermilion.html,14835,2609,0.0239,0,0.0574,0.0526,0,0,0,0,0,0.0287,0.0335
434751,3921400,39214,White Earth Tribal and Community College,Mahnomen,MN,56557,www.wetcc.edu,www.wetcc.org/npcalc.htm,13467,1468,0,0,0,0,0,0,0,0,0,0,0
